ico,nazov,typ
00315940,obec,matričný úrad
00305855,obec,matričný úrad
00307726,obec,matričný úrad
00308749,obec,matričný úrad
00307742,obec,matričný úrad
00313254,obec,matričný úrad
00304654,obec,matričný úrad
00305260,obec,matričný úrad
00305278,obec,matričný úrad
00308765,obec,matričný úrad
00310182,obec,matričný úrad
00320498,obec,matričný úrad
00313271,obec,matričný úrad
00320501,obec,matričný úrad
00321842,obec,matričný úrad
00308773,obec,matričný úrad
00318604,obec,matričný úrad
00306711,obec,matričný úrad
00306771,obec,matričný úrad
00311413,obec,matričný úrad
00321168,obec,matričný úrad
00308781,obec,matričný úrad
00322814,obec,matričný úrad
00316563,obec,matričný úrad
00317063,obec,matričný úrad
00313289,obec,matričný úrad
00304662,obec,matričný úrad
00306789,obec,matričný úrad
00308790,obec,matričný úrad
00325031,obec,matričný úrad
00323977,obec,matričný úrad
00308803,obec,matričný úrad
00312258,obec,matričný úrad
00305308,obec,matričný úrad
00304671,obec,matričný úrad
00316571,obec,matričný úrad
00314404,obec,matričný úrad
00315117,obec,matričný úrad
00306371,obec,matričný úrad
00323985,obec,matričný úrad
00312266,obec,matričný úrad
00310239,obec,matričný úrad
00318001,obec,matričný úrad
00331333,obec,matričný úrad
00312282,obec,matričný úrad
00317080,obec,matričný úrad
00312291,obec,matričný úrad
00309419,obec,matričný úrad
00309401,obec,matričný úrad
00331341,Borša,matričný úrad
00311430,Borša,matričný úrad
00310255,Borša,matričný úrad
00325074,Borša,matričný úrad
00307777,Borša,matričný úrad
00308811,Borša,matričný úrad
00603147,Borša,matričný úrad
00641383,Borša,matričný úrad
00603155,Borša,matričný úrad
00603295,Borša,matričný úrad
00603317,Borša,matričný úrad
00304557,Borša,matričný úrad
00304565,Borša,matričný úrad
00603392,Borša,matričný úrad
00603520,Borša,matričný úrad
00604887,Borša,matričný úrad
00641243,Borša,matričný úrad
00304603,Borša,matričný úrad
00603201,Borša,matričný úrad
00304611,Borša,matričný úrad
00312312,Borša,matričný úrad
00314412,Borša,matričný úrad
00313319,Borša,matričný úrad
00309443,Borša,matričný úrad
00326861,Borša,matričný úrad
00309451,Borša,matričný úrad
00330345,Borša,matričný úrad
00313491,Borša,matričný úrad
00308820,Borša,matričný úrad
00317101,Borša,matričný úrad
00306398,Borša,matričný úrad
00319759,Borša,matričný úrad
00325082,Borša,matričný úrad
00304697,Borša,matričný úrad
00330353,Borša,matričný úrad
00319236,Borša,matričný úrad
00324035,Borša,matričný úrad
00315982,Borša,matričný úrad
00332275,Borša,matričný úrad
00318019,Borša,matričný úrad
00316601,Borša,matričný úrad
00321192,Borša,matričný úrad
00326895,Borša,matričný úrad
00311456,Borša,matričný úrad
00319767,Borša,matričný úrad
00307785,Borša,matričný úrad
00331406,Borša,matričný úrad
00330388,Borša,matričný úrad
00309478,Borša,matričný úrad
00319775,Borša,matričný úrad
00312347,Cífer,matričný úrad
00316008,Cífer,matričný úrad
00319783,Cífer,matričný úrad
00313971,Cífer,matričný úrad
00311464,Cífer,matričný úrad
00306843,Cífer,matričný úrad
00306401,Cífer,matričný úrad
00324060,Cífer,matričný úrad
00304701,Cífer,matričný úrad
00587672,Cífer,matričný úrad
00304719,Cífer,matričný úrad
00318035,Cífer,matričný úrad
00319244,Cífer,matričný úrad
00324078,Cífer,matričný úrad
00319261,Cífer,matričný úrad
00318043,Cífer,matričný úrad
00331422,Cífer,matričný úrad
00313335,Cífer,matričný úrad
00308846,Cífer,matričný úrad
00312355,Cífer,matričný úrad
00317128,Cífer,matričný úrad
00321206,Cífer,matričný úrad
00306410,Cífer,matričný úrad
00331465,Cífer,matričný úrad
00313980,Cífer,matričný úrad
00307858,Cífer,matričný úrad
00313343,Cífer,matričný úrad
00305880,Cífer,matričný úrad
00305341,Cífer,matričný úrad
00318655,Cífer,matričný úrad
00319279,Cífer,matričný úrad
00316644,Cífer,matričný úrad
00308854,Cífer,matričný úrad
00312363,Cífer,matričný úrad
00306878,Cífer,matričný úrad
00319805,Cífer,matričný úrad
00319813,Cífer,matričný úrad
00305898,Cífer,matričný úrad
00318060,Cífer,matričný úrad
00316041,Cífer,matričný úrad
00321214,Cífer,matričný úrad
00314447,Cífer,matričný úrad
00321231,Cífer,matričný úrad
00319830,Cífer,matričný úrad
00312380,Cífer,matričný úrad
00316059,Cífer,matričný úrad
00328197,Cífer,matričný úrad
00317136,Cífer,matričný úrad
00309508,Cífer,matričný úrad
00304727,Cífer,matričný úrad
00312398,Dolná Krupá,matričný úrad
00317152,Dolná Krupá,matričný úrad
00306894,Dolná Krupá,matričný úrad
00319295,Dolná Krupá,matričný úrad
00311502,Dolná Krupá,matričný úrad
00321249,Dolná Krupá,matričný úrad
00312401,Dolná Krupá,matričný úrad
37869051,Dolná Krupá,matričný úrad
00686301,Dolná Krupá,matričný úrad
00312410,Dolná Krupá,matričný úrad
00319309,Dolná Krupá,matričný úrad
00305910,Dolná Krupá,matričný úrad
00311511,Dolná Krupá,matričný úrad
00319317,Dolná Krupá,matričný úrad
00318086,Dolná Krupá,matričný úrad
00305367,Dolná Krupá,matričný úrad
00321257,Dolná Krupá,matričný úrad
00314463,Dolná Krupá,matričný úrad
00317179,Dolná Krupá,matričný úrad
00312452,Dolná Krupá,matričný úrad
00308871,Dolná Krupá,matričný úrad
00306916,Dolná Krupá,matričný úrad
00305430,Dolná Krupá,matričný úrad
00317195,Dolná Krupá,matričný úrad
00312461,Dolná Krupá,matričný úrad
00326984,Dolná Krupá,matričný úrad
00311529,Dolná Krupá,matričný úrad
00324116,Dolná Krupá,matričný úrad
00317209,Dolná Krupá,matričný úrad
00308889,Dolná Krupá,matričný úrad
00311537,Dolná Krupá,matričný úrad
00309516,Dolná Krupá,matričný úrad
00316636,Dolná Krupá,matričný úrad
00319899,Dolná Krupá,matričný úrad
00319902,Dolná Krupá,matričný úrad
00306444,Dolná Krupá,matričný úrad
00400009,Dolná Krupá,matričný úrad
00305383,Dolná Krupá,matričný úrad
00312495,Dolná Krupá,matričný úrad
00308897,Dolná Krupá,matričný úrad
00321265,Dolná Krupá,matričný úrad
00306941,Dolná Krupá,matričný úrad
00318671,Dolná Krupá,matričný úrad
00316075,Dolná Krupá,matričný úrad
00327026,Dolná Krupá,matričný úrad
00305391,Dolná Krupá,matričný úrad
00321966,Dolná Krupá,matričný úrad
00304743,Dolná Krupá,matričný úrad
00305936,Dolná Krupá,matričný úrad
00308901,Dolná Krupá,matričný úrad
00309524,Gbely,matričný úrad
00329061,Gbely,matričný úrad
00318701,Gbely,matričný úrad
00318710,Gbely,matričný úrad
00321982,Gbely,matričný úrad
00307939,Gbely,matričný úrad
00314471,Gbely,matričný úrad
00322954,Gbely,matričný úrad
00318736,Gbely,matričný úrad
00307947,Gbely,matričný úrad
00316091,Gbely,matričný úrad
00318094,Gbely,matričný úrad
00324175,Gbely,matričný úrad
00332399,Gbely,matričný úrad
00330469,Gbely,matričný úrad
00313424,Gbely,matričný úrad
00322024,Gbely,matričný úrad
00309532,Gbely,matričný úrad
00320609,Gbely,matričný úrad
00312509,Gbely,matričný úrad
00329886,Gbely,matričný úrad
00318744,Gbely,matričný úrad
00318752,Gbely,matričný úrad
00320617,Gbely,matričný úrad
00306967,Gbely,matričný úrad
00332429,Gbely,matričný úrad
00305405,Gbely,matričný úrad
00309541,Gbely,matričný úrad
00316105,Gbely,matričný úrad
00306975,Gbely,matričný úrad
00319911,Gbely,matričný úrad
00319929,Gbely,matričný úrad
00319937,Gbely,matričný úrad
00317276,Gbely,matričný úrad
00317284,Gbely,matričný úrad
00311553,Gbely,matričný úrad
00311561,Gbely,matričný úrad
00316695,Gbely,matričný úrad
00318108,Gbely,matričný úrad
00320633,Gbely,matričný úrad
00310441,Gbely,matričný úrad
00312533,Gbely,matričný úrad
00312541,Gbely,matričný úrad
00305952,Gbely,matričný úrad
00306991,Gbely,matričný úrad
00311588,Gbely,matričný úrad
00312568,Gbely,matričný úrad
00305421,Gbely,matričný úrad
00319953,Gbely,matričný úrad
00314030,Gbely,matričný úrad
00318761,Hostice,matričný úrad
00308005,Hostice,matričný úrad
00326194,Hostice,matričný úrad
00321303,Hostice,matričný úrad
