ico,nazov,typ
00309401,obec,matričný úrad
00319775,Borša,matričný úrad
00304727,Cífer,matričný úrad
00308901,Dolná Krupá,matričný úrad
00314030,Gbely,matričný úrad
00317349,Hostice,matričný úrad
00311707,Jaslovské Bohunice,matričný úrad
00330671,Košarovce,matričný úrad
00309681,Lakšárska Nová Ves,matričný úrad
00316148,Látky,matričný úrad
00317446,Lazy pod Makytou,matričný úrad
00317454,Lednica,matričný úrad
00317462,Lednické Rovne,matričný úrad
00305553,Lehnice,matričný úrad
00308153,Lehota,matričný úrad
00318256,Lehota pod Vtáčnikom,matričný úrad
00331686,Leles,matričný úrad
00327344,Lemešany,matričný úrad
00326321,Lendak,matričný úrad
00312703,Leopoldov,matričný úrad
22222222,Lešť,matričný úrad
00329304,Letanovce,matričný úrad
00307203,Levice,matričný úrad
00329321,Levoča,matričný úrad
00314617,Liesek,matričný úrad
00321427,Lietava,matričný úrad
00315362,Likavka,matričný úrad
00327379,Lipany,matričný úrad
00327379,Lipany,matričný úrad
00316776,Lipovec,matričný úrad
00315389,Liptovská Kokava,matričný úrad
00315397,Liptovská Lúžna,matričný úrad
00315401,Liptovská Osada,matričný úrad
00315419,Liptovská Sielnica,matričný úrad
00315435,Liptovská Teplá,matričný úrad
00326330,Liptovská Teplička,matričný úrad
00315478,Liptovské Revúce,matričný úrad
00315745,Liptovské Sliače,matričný úrad
00315494,Liptovský Hrádok,matričný úrad
00315486,Liptovský Ján,matričný úrad
00315524,Liptovský Mikuláš,matričný úrad
00315559,Lisková,matričný úrad
00320102,Litava,matričný úrad
00314625,Lokca,matričný úrad
00313556,Lom nad Rimavicou,matričný úrad
00316172,Lovinobaňa,matričný úrad
00304905,Lozorno,matričný úrad
00309052,Ľubá,matričný úrad
00315567,Ľubeľa,matričný úrad
00328472,Lubeník,matričný úrad
00313564,Ľubietová,matričný úrad
00311731,Lubina,matričný úrad
00315575,Ľubochňa,matričný úrad
00330035,Ľubotín,matričný úrad
00316181,Lučenec,matričný úrad
00315583,Lúčky,matričný úrad
00310689,Ludanice,matričný úrad
00311804,Lúka,matričný úrad
00308358,Muráň,matričný úrad
00313688,Očová,matričný úrad
00321575,Podhájska,matričný úrad
00314285,Rajecká Lesná,matričný úrad
00331007,Sklabiná,matričný úrad
00319147,Studienka,matričný úrad
00325937,Terchová,matričný úrad
00326674,Udavské,matričný úrad
00327972,Veľký Šariš,matričný úrad
00313165,Veselé,matričný úrad
00320382,Vígľaš,matričný úrad
00320391,Vígľašská Huta-Kalinka,matričný úrad
00319678,Vinica,matričný úrad
00305154,Viničné,matričný úrad
00325953,Vinné,matričný úrad
00308625,Vinodol,matričný úrad
00305162,Vinosady,matričný úrad
00305171,Vištuk,matričný úrad
00306312,Vlčany,matričný úrad
00682209,Vlčkovce,matričný úrad
00313181,Voderady,matričný úrad
00332127,Vojany,matričný úrad
00305812,Vojka nad Dunajom,matričný úrad
00306321,Vozokany,matričný úrad
00308641,Vráble,matričný úrad
00305821,Vrakúň,matričný úrad
00332933,Vranov nad Topľou,matričný úrad
00326721,Vrbov,matričný úrad
00310140,Vrbovce,matričný úrad
00313190,Vrbové,matričný úrad
00319686,Vrbovka,matričný úrad
00647209,Vrútky,matričný úrad
00308650,Výčapy-Opatovce,matričný úrad
00321109,Vyhne,matričný úrad
00315893,Východná,matričný úrad
00323764,Výrava,matričný úrad
00314340,Vysoká nad Kysucou,matričný úrad
00305197,Vysoká pri Morave,matričný úrad
00326585,Vysoké Tatry,matričný úrad
00307661,Vyškovce nad Ipľom,matričný úrad
00332950,Vyšný Žipov,matričný úrad
44444444,Záhorie,matričný úrad
00305219,Záhorská Ves,matričný úrad
00315001,Zákamenné,matričný úrad
00314358,Zákopčie,matričný úrad
00326046,Zalužice,matričný úrad
00317926,Záriečie,matričný úrad
00313947,Závadka nad Hronom,matričný úrad
00313203,Zavar,matričný úrad
00315915,Závažná Poruba,matričný úrad
00310158,Závod,matričný úrad
00315010,Zázrivá,matričný úrad
00308668,Zbehy,matričný úrad
00322741,Zborov,matričný úrad
00314366,Zborov nad Bystricou,matričný úrad
00306720,Zemianska Olča,matričný úrad
00651001,Zemianske Kostoľany,matričný úrad
00321796,Zemianske Sady,matričný úrad
